jelly_id,frame_idx,x_center,y_center,width,height,marked,nb_pixels
16,12,2086.15,1997.6,21.54,13.29,0,286.21
1,13,1883.92,1681.07,17.83,21.01,0,374.67
2,13,3060.72,1597.85,14.45,18.46,0,266.74
3,13,3431.77,621.66,18.48,14.12,0,261.03
4,13,2318.64,1826.57,25.09,19.27,0,483.53
5,13,3258.64,1222.43,14.5,19.56,0,283.69
10,13,1420.08,2045.46,16.99,15.74,0,267.48
16,13,2085.76,1997.94,21.54,13.33,0,287.05
1,14,1885.4,1682.49,16.75,19.7,0,329.94
2,14,3060.23,1599.49,14.65,18.75,0,274.67
3,14,3435.21,621.1,18.59,14.17,0,263.55
4,14,2321.48,1827.67,26.59,20.61,0,547.88
5,14,3259.63,1226.06,13.76,18.24,0,250.88
10,14,1419.92,2046.54,17.0,15.5,0,263.47
16,14,2085.52,1998.92,21.66,13.47,0,291.78
1,15,1887.24,1684.52,16.68,19.59,0,326.84
2,15,3060.14,1601.34,14.76,18.91,0,279.1
3,15,3438.61,620.57,18.6,14.19,0,264.07
4,15,2324.58,1828.1,26.76,20.94,0,560.51
5,15,3260.49,1228.49,12.9,16.44,0,212.09
10,15,1419.56,2047.46,17.23,15.52,0,267.31
16,15,2085.39,1999.81,21.07,13.16,0,277.15
1,16,1888.93,1686.0,16.58,19.54,0,323.97
2,16,3060.1,1603.61,14.61,18.69,0,273.07
3,16,3441.89,620.1,18.44,13.94,0,257.07
4,16,2327.15,1828.01,26.94,21.28,0,573.24
5,16,3265.66,1230.61,13.21,16.39,0,216.46
10,16,1419.26,2048.06,17.76,15.83,0,281.18
16,16,2085.18,2000.78,21.42,13.48,0,288.78
21,16,2405.82,1097.75,15.04,14.51,0,218.2
1,17,1890.23,1687.55,16.04,18.82,0,301.89
2,17,3060.62,1605.96,15.39,19.86,0,305.62
3,17,3445.86,619.29,18.94,14.33,0,271.49
4,17,2329.33,1828.02,26.49,21.15,0,560.21
5,17,3267.74,1232.94,13.68,16.72,0,228.74
