frame_idx,time_s,x_center,y_center,width,height,bbox_area_px,mask_area_sam_px,mask_perimeter_sam_px
4280,142.80948,2752.83,1188.38,25.43,19.84,504.56,492,81.84
4281,142.84284,2752.94,1188.5,25.49,19.76,503.87,501,82.67
4282,142.87621,2752.79,1188.48,25.32,19.77,500.69,498,82.67
4283,142.90958,2752.79,1188.7,25.31,19.87,503.01,505,82.67
4284,142.94294,2752.54,1188.88,25.59,20.04,512.8,513,84.08
4285,142.97631,2752.5,1189.02,25.44,20.11,511.67,516,84.91
4286,143.00968,2752.3,1189.2,25.7,20.03,514.67,526,84.91
4287,143.04304,2752.37,1189.44,25.82,20.19,521.31,529,84.91
4288,143.07641,2752.09,1189.26,25.67,19.86,509.72,522,84.33
4289,143.10978,2751.81,1189.25,25.44,19.41,493.72,523,85.5
4290,143.14314,2751.65,1189.36,25.62,19.35,495.64,512,83.84
4291,143.17651,2751.59,1189.61,25.94,19.29,500.19,530,86.08
4292,143.20988,2751.23,1189.92,25.8,18.88,487.0,521,86.08
4293,143.24324,2750.92,1190.01,25.93,18.53,480.56,520,85.5
4294,143.27661,2750.89,1190.23,25.99,18.31,475.94,516,85.25
4295,143.30998,2750.61,1190.15,25.92,18.13,469.89,506,84.08
4296,143.34334,2750.48,1190.18,25.81,18.22,470.27,503,84.08
4297,143.37671,2750.22,1190.43,25.91,18.24,472.58,506,83.84
4298,143.41008,2750.06,1190.38,25.66,18.16,466.05,505,83.01
4299,143.44344,2750.04,1190.45,25.77,18.31,471.76,510,84.67
4300,143.47681,2749.61,1190.57,25.72,18.47,475.13,506,84.43
4301,143.51018,2749.55,1190.69,25.68,18.51,475.27,498,84.43
4302,143.54354,2749.47,1190.78,25.68,18.86,484.24,506,84.43
4303,143.57691,2749.26,1190.73,25.37,19.09,484.17,503,83.84
4304,143.61028,2749.19,1190.86,25.37,19.39,492.01,506,83.84
4305,143.64364,2749.11,1190.94,25.27,19.61,495.64,498,83.01
4306,143.67701,2749.03,1191.17,25.15,20.04,503.9,509,84.43
4307,143.71038,2749.04,1191.23,25.14,20.07,504.56,503,83.6
4308,143.74374,2748.97,1191.34,25.02,20.22,506.0,515,84.43
4309,143.77711,2748.8,1191.23,24.83,19.98,495.94,512,84.43
4310,143.81048,2748.55,1191.42,24.72,19.98,494.02,530,87.25
4311,143.84384,2748.44,1191.53,24.54,19.94,489.19,523,85.84
4312,143.87721,2748.29,1191.66,24.53,20.07,492.44,520,85.01
4313,143.91058,2748.15,1191.63,24.54,20.02,491.28,525,85.6
4314,143.94394,2748.13,1192.0,24.65,20.15,496.67,525,85.84
4315,143.97731,2747.96,1192.09,24.59,20.13,494.93,526,86.43
4316,144.01068,2747.52,1192.28,24.91,20.09,500.51,532,86.43
4317,144.04404,2747.34,1192.47,25.06,19.93,499.51,537,87.84
4318,144.07741,2747.13,1192.4,25.32,19.94,504.79,543,87.01
4319,144.11078,2746.99,1192.65,25.31,19.55,494.79,546,87.84
4320,144.14414,2746.69,1192.89,25.33,19.64,497.53,541,87.01
4321,144.17751,2746.61,1193.11,25.69,19.6,503.46,545,87.01
4322,144.21088,2746.48,1193.4,25.75,19.14,492.86,540,87.01
4323,144.24424,2746.24,1193.57,25.64,18.74,480.47,518,85.6
4324,144.27761,2746.35,1193.7,26.0,18.92,491.85,531,85.36
4325,144.31098,2746.12,1193.69,25.81,18.84,486.2,517,83.94
4326,144.34434,2746.0,1193.75,25.88,18.84,487.61,500,83.94
4327,144.37771,2746.0,1193.84,26.06,19.01,495.4,497,83.94
4328,144.41108,2745.75,1193.82,25.96,19.03,494.03,482,83.36
4329,144.44444,2745.85,1193.83,26.07,18.87,492.06,484,81.94
4330,144.47781,2745.73,1193.9,25.97,18.85,489.56,479,81.94
4331,144.51118,2745.66,1193.87,25.78,18.63,480.45,475,81.94
4332,144.54454,2745.46,1194.02,25.87,18.61,481.27,464,82.18
4333,144.57791,2745.43,1194.04,25.88,18.55,480.08,470,82.77
4334,144.61128,2745.2,1194.22,25.86,18.95,490.09,470,82.18
4335,144.64464,2745.06,1194.37,26.08,19.21,500.86,477,82.77
4336,144.67801,2745.01,1194.51,25.99,19.39,503.96,484,82.77
4337,144.71138,2744.74,1194.47,26.02,19.13,497.83,487,83.6
4338,144.74474,2744.89,1194.6,26.1,19.52,509.3,490,82.77
4339,144.77811,2744.98,1194.78,25.91,20.04,519.12,503,84.18
4340,144.81148,2744.76,1194.84,26.15,20.23,529.03,508,85.6
4341,144.84484,2744.8,1194.78,26.14,20.32,531.25,522,85.6
4342,144.87821,2744.85,1194.62,26.05,20.38,530.98,531,85.6
4343,144.91158,2744.8,1194.61,25.95,20.44,530.46,523,85.6
4344,144.94494,2744.6,1194.63,26.23,20.42,535.74,531,86.77
4345,144.97831,2744.27,1194.55,26.37,20.5,540.71,531,87.01
4346,145.01168,2744.11,1194.62,26.77,20.65,552.67,536,85.6
4347,145.04505,2744.08,1194.48,26.6,20.17,536.66,527,85.6
4348,145.07841,2744.04,1194.76,26.8,20.1,538.68,529,85.6
4349,145.11178,2743.95,1194.72,26.65,19.82,528.35,520,85.6
4350,145.14515,2744.1,1194.76,26.52,19.47,516.43,497,83.01
4351,145.17851,2744.06,1194.93,26.59,19.47,517.65,514,84.18
4352,145.21188,2743.87,1194.95,26.65,19.17,510.84,513,84.18
4353,145.24525,2743.64,1195.16,26.6,18.98,504.84,514,85.6
4354,145.27861,2743.41,1195.23,26.44,18.93,500.56,518,85.6
4355,145.31198,2743.27,1195.38,26.28,19.05,500.61,521,85.6
4356,145.34535,2743.34,1195.47,26.64,19.02,506.53,519,86.18
4357,145.37871,2743.32,1195.66,26.84,19.1,512.66,520,86.18
4358,145.41208,2743.21,1195.55,26.91,18.96,510.18,522,86.18
4359,145.44545,2743.33,1195.74,27.17,19.02,516.85,517,84.77
4360,145.47881,2743.31,1196.04,27.32,19.1,521.75,528,86.77
4361,145.51218,2743.28,1196.3,27.18,18.81,511.23,531,87.36
4362,145.54555,2743.31,1196.53,27.18,18.87,512.93,527,87.36
4363,145.57891,2743.11,1196.45,26.97,18.69,504.02,530,87.11
4364,145.61228,2742.98,1196.65,26.81,18.84,505.27,530,86.53
4365,145.64565,2743.01,1196.97,26.87,19.04,511.67,545,89.11
4366,145.67901,2743.01,1197.19,26.85,19.12,513.41,545,87.7
4367,145.71238,2742.78,1197.17,26.82,19.34,518.67,546,87.7
4368,145.74575,2742.85,1197.42,26.88,19.64,527.96,538,87.7
4369,145.77911,2742.69,1197.3,27.13,20.06,544.15,555,89.11
4370,145.81248,2742.66,1197.38,27.11,20.2,547.55,548,89.11
4371,145.84585,2742.49,1197.35,27.14,20.5,556.46,554,89.11
4372,145.87921,2742.57,1197.27,27.09,20.81,563.76,564,90.53
4373,145.91258,2742.57,1197.1,26.98,20.85,562.53,559,89.94
4374,145.94595,2742.49,1197.2,26.8,20.77,556.52,548,87.11
4375,145.97931,2742.56,1197.05,26.64,20.49,545.9,539,86.53
4376,146.01268,2742.43,1196.94,26.63,20.42,543.92,544,88.53
4377,146.04605,2742.27,1197.02,26.98,20.55,554.5,552,88.53
4378,146.07941,2742.31,1196.79,26.94,20.17,543.47,551,88.53
4379,146.11278,2742.03,1196.74,27.01,20.04,541.22,559,89.36
4380,146.14615,2742.01,1196.58,27.05,19.87,537.59,552,90.18
4381,146.17951,2741.73,1196.68,27.11,20.06,544.04,564,90.18
4382,146.21288,2741.48,1196.58,27.1,19.95,540.56,563,91.01
4383,146.24625,2741.4,1196.48,27.16,19.74,536.23,555,90.43
4384,146.27961,2741.3,1196.5,27.36,19.69,538.85,554,90.43
4385,146.31298,2741.12,1196.37,27.42,19.52,535.33,544,89.84
4386,146.34635,2741.05,1196.18,27.37,19.29,527.93,537,89.84
4387,146.37971,2740.89,1196.13,27.33,19.05,520.71,528,87.01
4388,146.41308,2740.78,1196.09,27.17,18.85,512.03,522,87.01
4389,146.44645,2740.5,1195.98,27.13,18.82,510.44,520,86.43
4390,146.47981,2740.34,1195.9,27.35,19.19,524.76,529,88.67
4391,146.51318,2740.17,1195.73,27.24,19.27,524.93,534,88.08
4392,146.54655,2739.98,1195.45,27.03,19.15,517.65,528,86.67
4393,146.57991,2739.77,1195.22,27.14,19.27,523.12,532,87.5
4394,146.61328,2739.66,1195.22,26.92,19.33,520.45,526,86.67
4395,146.64665,2739.52,1195.11,26.64,19.26,513.05,532,88.08
4396,146.68001,2739.54,1194.9,26.78,19.26,515.91,531,88.08
4397,146.71338,2739.2,1194.89,26.81,19.5,522.77,530,87.74
4398,146.74675,2739.31,1195.13,26.93,19.76,532.18,536,88.91
4399,146.78011,2739.11,1194.93,26.87,19.6,526.84,526,87.15
4400,146.81348,2738.99,1195.05,26.97,19.73,532.2,533,87.74
4401,146.84685,2738.95,1195.06,26.8,19.62,526.0,534,87.74
4402,146.88021,2739.02,1195.2,26.96,19.77,532.84,537,86.91
4403,146.91358,2739.0,1195.42,26.95,19.92,536.83,535,87.5
4404,146.94695,2738.9,1195.44,26.87,20.17,541.83,537,87.5
4405,146.98031,2739.02,1195.52,26.75,20.27,542.11,550,88.67
4406,147.01368,2738.93,1195.61,26.8,20.01,536.11,545,87.84
4407,147.04705,2739.02,1195.6,27.23,19.91,542.23,539,87.84
4408,147.08041,2738.98,1195.69,27.09,19.95,540.44,543,86.43
4409,147.11378,2738.78,1195.73,27.4,20.09,550.5,551,88.43
4410,147.14715,2738.75,1195.94,27.39,20.1,550.52,548,89.25
4411,147.18051,2738.84,1196.37,27.47,19.92,547.03,557,89.01
4412,147.21388,2738.82,1196.62,27.34,19.75,540.09,553,89.6
4413,147.24725,2738.69,1196.95,27.18,19.57,531.8,553,89.6
4414,147.28061,2738.47,1197.01,27.33,19.55,534.3,556,91.01
4415,147.31398,2738.34,1197.13,27.37,19.53,534.64,552,91.6
4416,147.34735,2738.31,1197.42,27.56,19.54,538.36,554,90.77
4417,147.38071,2738.18,1197.56,27.52,19.55,537.98,561,91.36
4418,147.41408,2738.16,1197.71,27.7,19.69,545.3,560,91.36
4419,147.44745,2738.17,1197.84,27.69,19.84,549.35,563,91.94
4420,147.48081,2738.14,1197.84,27.65,19.89,550.0,576,93.36
4421,147.51418,2738.07,1197.89,27.59,19.98,551.29,571,91.94
4422,147.54755,2737.92,1197.89,27.37,19.91,544.92,577,93.11
4423,147.58091,2737.77,1197.92,27.16,19.94,541.65,572,92.53
4424,147.61428,2737.52,1197.99,26.74,20.02,535.35,570,91.7
4425,147.64765,2737.44,1197.96,26.7,19.97,533.19,569,92.53
4426,147.68101,2737.11,1197.95,26.33,19.94,524.99,558,91.94
4427,147.71438,2736.86,1198.0,26.39,20.04,528.71,567,91.94
4428,147.74775,2736.73,1198.01,25.97,20.07,521.13,558,91.36
4429,147.78111,2736.81,1197.91,26.11,19.93,520.34,558,91.36
4430,147.81448,2736.45,1197.96,26.13,20.08,524.6,556,91.11
4431,147.84785,2736.23,1197.79,25.97,19.75,512.81,554,90.77
4432,147.88121,2736.16,1197.58,26.05,19.49,507.76,553,91.36
4433,147.91458,2736.11,1197.49,26.01,19.68,511.85,552,90.77
4434,147.94795,2736.02,1197.44,26.18,19.79,517.96,552,89.94
4435,147.98131,2736.04,1197.42,26.06,19.93,519.25,552,89.36
4436,148.01468,2735.96,1197.23,26.2,20.19,528.81,554,89.94
4437,148.04805,2736.05,1197.04,26.36,20.21,532.85,550,89.36
4438,148.08141,2735.65,1196.88,26.29,20.04,526.88,551,90.77
4439,148.11478,2735.45,1196.85,26.51,20.08,532.34,556,91.6
4440,148.14815,2735.14,1196.82,26.91,19.71,530.33,547,90.18
4441,148.18151,2735.09,1196.89,26.87,19.69,529.01,554,91.6
4442,148.21488,2734.81,1196.97,26.86,19.84,532.98,543,89.94
4443,148.24825,2734.64,1196.98,26.63,19.69,524.47,537,89.94
4444,148.28161,2734.65,1196.91,26.5,19.49,516.59,535,89.36
4445,148.31498,2734.46,1196.91,26.68,19.45,518.77,528,89.36
4446,148.34835,2734.36,1196.9,26.44,19.46,514.4,528,87.94
4447,148.38172,2734.23,1197.08,26.4,19.55,515.98,529,88.77
4448,148.41508,2733.96,1197.1,26.79,19.65,526.4,540,89.94
4449,148.44845,2733.77,1197.48,27.25,19.88,541.66,555,90.77
4450,148.48182,2733.71,1197.84,27.37,20.17,551.94,565,91.36
4451,148.51518,2733.6,1198.06,27.37,20.19,552.6,565,91.94
4452,148.54855,2733.45,1198.08,27.33,20.2,552.1,557,89.94
4453,148.58192,2733.36,1198.26,27.31,20.53,560.58,558,89.94
4454,148.61528,2733.43,1198.24,27.14,20.48,555.92,555,90.53
4455,148.64865,2733.36,1198.26,27.24,20.53,559.27,559,90.53
4456,148.68202,2733.32,1198.33,27.14,20.66,560.72,562,90.53
4457,148.71538,2733.19,1198.3,27.04,20.59,556.9,559,89.11
4458,148.74875,2733.13,1198.38,26.68,20.76,553.83,562,90.53
4459,148.78212,2733.14,1198.58,26.52,21.17,561.36,561,89.94
4460,148.81548,2733.07,1198.84,26.48,21.69,574.28,565,90.53
4461,148.84885,2733.05,1198.88,26.18,21.75,569.46,573,90.53
4462,148.88222,2733.01,1198.93,26.4,21.87,577.38,579,91.11
4463,148.91558,2732.74,1200.99,26.38,22.02,580.95,593,91.94
4464,148.94895,2732.78,1200.99,26.58,22.02,585.33,596,92.53
4465,148.98232,2732.85,1200.97,26.7,22.06,588.9,595,93.36
4466,149.01568,2732.83,1200.98,26.74,22.05,589.69,598,93.36
4467,149.04905,2732.68,1201.0,27.02,22.01,594.8,607,94.18
4468,149.08242,2732.53,1200.95,26.94,22.11,595.56,607,94.77
4469,149.11578,2732.54,1200.97,27.05,22.06,596.5,609,94.77
4470,149.14915,2731.99,1200.92,26.54,22.16,588.27,597,91.94
4471,149.18252,2731.92,1201.05,26.46,21.89,579.31,596,93.11
4472,149.21588,2731.87,1201.07,26.8,21.85,585.59,597,92.53
4473,149.24925,2731.68,1201.13,26.54,21.73,576.73,595,92.53
4474,149.28262,2731.58,1201.14,26.67,21.72,579.42,588,92.53
4475,149.31598,2731.37,1201.1,26.81,21.81,584.68,588,93.36
4476,149.34935,2731.12,1201.16,26.69,21.68,578.64,578,91.11
4477,149.38272,2731.05,1201.07,26.93,21.86,588.91,584,91.7
4478,149.41608,2730.93,1201.04,26.7,21.92,585.25,585,92.53
4479,149.44945,2730.63,1201.01,26.72,21.99,587.4,589,93.36
4480,149.48282,2730.31,1200.99,26.88,22.03,592.19,598,93.94
4481,149.51618,2730.23,1199.03,26.98,22.06,595.14,586,93.36
4482,149.54955,2729.92,1199.0,27.06,22.0,595.51,582,94.18
4483,149.58292,2729.44,1198.86,26.96,21.73,585.84,573,93.94
4484,149.61628,2729.13,1198.9,26.93,21.81,587.24,573,92.77
4485,149.64965,2728.76,1198.99,26.68,21.99,586.68,568,92.77
4486,149.68302,2728.37,1199.02,26.59,22.04,586.22,572,93.36
4487,149.71638,2727.84,1201.0,26.2,22.01,576.61,567,91.94
4488,149.74975,2727.7,1201.08,25.79,21.84,563.33,567,92.53
4489,149.78312,2727.37,1201.03,25.35,21.94,556.23,576,91.7
4490,149.81648,2727.11,1200.96,25.45,22.08,562.0,571,91.7
