jelly_id,frame_idx,x_center,y_center,width,height,marked,nb_pixels,balisee_id,dx,dy,displacement_px,speed_px_per_s,dt_frames
764,200,2193.86,1336.03,21.45,19.31,1,414.39,Balisée #3,,,,,
764,201,2195.62,1334.28,21.91,19.83,1,434.32,Balisée #3,1.7599999999997635,-1.75,2.4819548746903455,12.409774373451727,1.0
764,202,2197.59,1332.86,21.77,19.76,1,430.2,Balisée #3,1.9700000000002547,-1.4200000000000728,2.4284357104937344,12.142178552468671,1.0
764,203,2200.35,1330.89,21.39,19.41,1,415.01,Balisée #3,2.7599999999997635,-1.9699999999998,3.390943821415788,16.95471910707894,1.0
764,204,2202.91,1329.38,21.76,19.78,1,430.39,Balisée #3,2.5599999999999454,-1.509999999999991,2.9721541009846195,14.860770504923098,1.0
764,205,2205.47,1328.05,22.31,20.29,1,452.71,Balisée #3,2.5599999999999454,-1.3300000000001546,2.884874347350354,14.424371736751771,1.0
764,206,2208.54,1326.39,22.02,20.0,1,440.52,Balisée #3,3.0700000000001637,-1.6599999999998545,3.4900573061198465,17.450286530599232,1.0
764,207,2210.53,1325.06,22.33,20.31,1,453.47,Balisée #3,1.9900000000002365,-1.3300000000001546,2.393532953606729,11.967664768033647,1.0
764,208,2213.5,1323.59,22.39,20.39,1,456.63,Balisée #3,2.9699999999998,-1.4700000000000273,3.3138799012636064,16.56939950631803,1.0
764,209,2216.14,1322.72,22.81,20.86,1,475.89,Balisée #3,2.6399999999998727,-0.8699999999998909,2.7796582523754854,13.898291261877427,1.0
764,210,2218.59,1321.87,22.8,20.89,1,476.31,Balisée #3,2.450000000000273,-0.8500000000001364,2.5932604959782903,12.966302479891452,1.0
764,211,2221.11,1321.22,22.6,20.75,1,468.94,Balisée #3,2.519999999999982,-0.6499999999998636,2.60247958685553,13.01239793427765,1.0
764,212,2223.53,1320.53,23.4,21.68,1,507.39,Balisée #3,2.4200000000000728,-0.6900000000000546,2.5164459064324087,12.582229532162044,1.0
764,213,2226.01,1318.65,23.18,21.64,1,501.63,Balisée #3,2.480000000000018,-1.8799999999998818,3.1120411308335316,15.560205654167659,1.0
764,214,2228.17,1317.43,23.32,21.91,1,511.1,Balisée #3,2.1599999999998545,-1.2200000000000273,2.4807257002739016,12.403628501369507,1.0
764,215,2230.42,1317.32,23.61,22.38,1,528.43,Balisée #3,2.25,-0.11000000000012733,2.2526872841120285,11.263436420560142,1.0
764,216,2231.96,1317.83,23.53,22.34,1,525.62,Balisée #3,1.5399999999999636,0.5099999999999909,1.6222515218053823,8.11125760902691,1.0
764,217,2233.95,1317.7,23.59,22.62,1,533.64,Balisée #3,1.9899999999997817,-0.12999999999988177,1.9942417105253565,9.971208552626782,1.0
764,218,2235.92,1317.0,23.97,23.28,1,558.06,Balisée #3,1.9700000000002547,-0.7000000000000455,2.0906697491476427,10.453348745738214,1.0
764,219,2237.55,1316.58,24.21,23.79,1,575.98,Balisée #3,1.6300000000001091,-0.42000000000007276,1.6832409215559183,8.41620460777959,1.0
764,220,2239.29,1316.34,24.16,24.01,1,580.1,Balisée #3,1.7399999999997817,-0.2400000000000091,1.7564737401963186,8.782368700981593,1.0
764,221,2241.5,1315.84,24.08,24.12,1,580.77,Balisée #3,2.2100000000000364,-0.5,2.2658552469211624,11.329276234605812,1.0
764,222,2243.92,1314.93,23.96,24.29,1,581.87,Balisée #3,2.4200000000000728,-0.9099999999998545,2.5854400012377172,12.927200006188587,1.0
764,223,2246.04,1314.36,23.9,24.54,1,586.46,Balisée #3,2.119999999999891,-0.5700000000001637,2.1952904135899023,10.976452067949511,1.0
764,224,2248.46,1313.9,23.97,24.94,1,597.84,Balisée #3,2.4200000000000728,-0.459999999999809,2.4633310780323816,12.316655390161909,1.0
764,225,2251.23,1313.05,23.61,24.91,1,588.21,Balisée #3,2.769999999999982,-0.8500000000001364,2.897481665170658,14.487408325853291,1.0
