jelly_id,balisee_id,marked,nb_frames,frame_start,frame_end,speed_mean_px_s,speed_median_px_s,speed_max_px_s,speed_std_px_s
1273,,0,118,1253,1370,16.867928960021878,16.61001204093467,25.5378150983986,2.968977959174672
1287,,0,3,1269,1271,5.557173389428794,5.557173389428794,6.764059432026906,1.7067946096810434
1288,Balisée #5,1,175,1270,1490,19.482275512508977,15.547746784919369,131.15755792176094,14.65808851828655
1314,,0,8,1316,1327,21.018418154235007,16.194134740700157,40.317024939844536,10.15172553523206
1316,,0,93,1318,1410,9.252887439685653,9.45667734072088,14.06280555223692,2.6831685603640474
1318,,0,1,1322,1322,,,,
1323,,0,17,1328,1347,10.682224811751581,8.058094290753061,35.85348658080472,7.598678258483154
1337,,0,1,1354,1354,,,,
1344,Balisée #4,1,129,1368,1502,9.208256985237856,8.62989144707387,37.83731623675092,5.354396546285214
1346,,0,133,1370,1502,17.416668745106616,17.71824554696262,25.71035783492627,3.4305639897145435
1364,,0,5,1424,1428,7.096180848330151,5.925623168991794,13.726343285813664,4.706887487897479
1366,,0,67,1427,1498,15.913904782251738,14.428842075092565,50.163034198501464,7.00327273205901
1367,,0,75,1427,1501,4.392974445202298,3.89308425600927,18.105316898635905,2.5875661298178927
1371,Balisée #2,1,56,1447,1502,6.346728853436802,5.728001396647489,19.85629623066672,3.6656104725073795
1399,,0,2,1501,1502,2.035927307149973,2.035927307149973,2.035927307149973,
