jelly_id,balisee_id,marked,nb_frames,frame_start,frame_end,speed_mean_px_s,speed_median_px_s,speed_max_px_s,speed_std_px_s
764,Balisée #3,1,1020,200,1226,11.473401542059742,11.86001686339409,47.323065200809324,5.59680279369327
765,,0,140,200,343,12.46928739606545,11.867813614983378,34.89530770748492,5.1850801043181
767,Balisée #1,1,416,200,650,12.162326533096845,11.53126185636323,203.25325335649597,11.032067336237178
770,,0,672,200,873,13.46571045423044,13.175071157304073,56.05347892860937,5.5048346806494575
771,Balisée #2,1,918,200,1163,9.661924047575196,9.56882960450229,77.665565085178,6.085388724642036
775,,0,1,200,200,,,,
787,Balisée #4,1,92,239,334,12.319035396947566,13.012397934277669,24.123432591569568,3.774460059806287
795,,0,186,281,474,15.027854778840974,14.314765104604277,92.57348432461647,7.2303603697332
810,,0,240,323,562,12.695733183846887,12.93145390124452,26.02522814501321,4.003499143329308
814,,0,14,330,345,20.322429792285444,17.613914953808465,54.81005838347575,10.479215601168173
819,,0,1,340,340,,,,
832,,0,2,381,382,6.200806399171041,6.200806399171041,6.200806399171041,
842,,0,154,396,556,10.20978574121196,9.948994924111958,23.379050451205934,3.9265895986088672
847,Balisée #5,1,137,412,550,5.255740744693814,4.741280184453485,17.655098413773562,3.37778443114209
863,Balisée #4,1,165,458,640,9.984027503371246,9.273346260611802,28.736953561573163,4.414046492340067
878,,0,362,502,924,15.897396063593229,13.712494302642398,206.0612166323398,16.27438599468224
900,,0,246,562,807,7.499520880052809,7.133372274037139,23.030957426906227,3.130161776029723
902,,0,327,570,896,15.464165892833558,14.876994145915187,27.698420532586052,4.179275195124309
904,,0,6,572,581,22.298907332941692,16.76968991961416,52.25863565000549,18.393671865511518
917,,0,2,602,603,8.118189453319623,8.118189453319623,8.118189453319623,
936,Balisée #1,1,38,647,698,14.922816360681193,10.567047837499402,133.59379663741828,20.683061990577865
942,Balisée #4,1,91,670,762,13.060990407653836,13.04477576639345,47.547502563226615,4.643528977416737
945,Balisée #5,1,223,676,965,7.331065472218132,5.079737734576376,176.40978572630277,15.4331984596138
946,Balisée #1,1,13,679,691,9.060253994114861,9.687667020375297,12.823513559082686,2.877010297095219
949,,0,40,694,737,4.2537109321808675,3.7712729946265764,11.025538535600726,2.562465860683335
958,Balisée #1,1,313,721,1069,7.391384612787418,6.031876196765751,45.945756060815896,5.695155540992103
961,,0,1,725,725,,,,
967,,0,48,737,787,5.746816826439877,5.657958995962435,11.469306866589486,2.5616529525888048
981,Balisée #4,1,56,784,841,4.788840228471532,4.2979646345679425,9.396275858020314,1.628837404291911
984,,0,1,792,792,,,,
992,,0,293,808,1107,8.37821916484921,7.808888604038765,27.878531166472488,4.235794751605882
994,,0,154,814,968,15.78414015531343,16.0269304609457,26.587073927005385,3.5224264516299915
1000,,0,1,830,830,,,,
1002,,0,8,832,839,4.91774538945738,3.844801685392985,7.973863555391314,2.4351749420831488
1005,,0,1,840,840,,,,
1027,,0,2,867,868,10.801041616437352,10.801041616437352,10.801041616437352,
1030,,0,14,870,889,21.418345405521112,17.604544867732184,52.01278688937893,12.378217565436147
1033,,0,98,873,973,7.995430357013688,7.192530848039887,47.27359199383982,5.175586279587942
1038,Balisée #4,1,82,879,963,13.847993536393712,14.278392766694438,24.557534485367448,2.738610679468408
