session,frame_idx,time_s,cx,cy,bbox_w,bbox_h,mask_area_px
2025_06_06,2762,115.0354,1150.7,614.1,11.6,11.6,123
2025_06_06,2762,115.0354,891.7,688.1,12.8,10.0,112
2025_06_06,2762,115.0354,225.9,146.9,17.6,14.1,175
2025_06_06,2762,115.0354,1229.2,527.0,14.2,12.1,148
2025_06_06,2762,115.0354,556.5,441.3,13.6,11.0,117
2025_06_06,2762,115.0354,275.9,678.7,8.6,9.3,52
2025_06_06,2762,115.0354,873.3,271.9,12.8,13.5,128
2025_06_06,2762,115.0354,304.9,620.6,8.5,6.8,53
2025_06_06,2762,115.0354,984.2,413.2,12.8,12.2,118
2025_06_06,2762,115.0354,455.6,38.1,11.8,10.8,100
2025_06_06,2762,115.0354,575.2,429.7,12.1,10.0,88
2025_06_06,2763,115.07705,891.7,688.2,12.7,10.0,115
2025_06_06,2763,115.07705,1150.7,614.1,11.5,11.6,124
2025_06_06,2763,115.07705,225.9,146.9,17.2,13.6,173
2025_06_06,2763,115.07705,1229.1,527.0,14.0,12.1,148
2025_06_06,2763,115.07705,556.5,441.4,13.7,11.1,120
2025_06_06,2763,115.07705,276.0,678.7,8.5,9.5,52
2025_06_06,2763,115.07705,873.1,271.7,12.8,13.6,131
2025_06_06,2763,115.07705,455.8,38.1,11.7,11.3,106
2025_06_06,2763,115.07705,984.1,413.3,13.0,12.4,118
2025_06_06,2763,115.07705,304.8,620.6,8.5,7.0,55
2025_06_06,2763,115.07705,575.1,429.8,12.1,10.2,88
2025_06_06,2764,115.1187,891.7,688.2,12.7,10.0,115
2025_06_06,2764,115.1187,226.1,146.8,17.1,13.9,178
2025_06_06,2764,115.1187,1228.8,526.9,14.0,12.2,147
2025_06_06,2764,115.1187,1150.6,614.0,11.5,11.6,122
2025_06_06,2764,115.1187,556.8,441.7,13.4,11.0,116
2025_06_06,2764,115.1187,276.1,678.8,9.1,10.0,57
2025_06_06,2764,115.1187,873.3,271.4,13.8,13.7,132
2025_06_06,2764,115.1187,455.5,37.9,11.1,12.2,106
2025_06_06,2764,115.1187,983.9,413.4,12.6,12.2,112
2025_06_06,2764,115.1187,304.6,620.8,8.5,7.0,55
2025_06_06,2764,115.1187,574.9,429.7,12.3,10.4,89
2025_06_06,2765,115.16035,891.8,688.2,12.8,10.0,115
2025_06_06,2765,115.16035,226.0,146.8,17.4,13.8,176
2025_06_06,2765,115.16035,1228.7,527.0,14.0,12.2,148
2025_06_06,2765,115.16035,1150.6,613.7,11.5,11.7,127
2025_06_06,2765,115.16035,556.8,441.8,13.5,10.9,115
2025_06_06,2765,115.16035,455.2,37.9,11.7,12.2,110
2025_06_06,2765,115.16035,276.1,679.0,8.8,9.5,54
2025_06_06,2765,115.16035,873.1,271.6,13.2,13.8,129
2025_06_06,2765,115.16035,983.8,413.4,13.0,12.2,117
2025_06_06,2765,115.16035,574.9,429.8,11.8,10.5,87
2025_06_06,2765,115.16035,303.7,620.6,8.6,7.0,55
2025_06_06,2766,115.202,226.0,146.7,17.5,13.9,178
2025_06_06,2766,115.202,891.9,688.3,12.9,10.0,112
2025_06_06,2766,115.202,1228.5,526.8,14.1,12.1,148
2025_06_06,2766,115.202,1150.7,613.7,11.7,11.8,131
2025_06_06,2766,115.202,556.9,442.0,13.3,10.8,113
2025_06_06,2766,115.202,454.8,38.2,11.7,11.9,108
2025_06_06,2766,115.202,873.1,271.4,13.2,13.3,125
2025_06_06,2766,115.202,276.2,679.1,8.8,9.6,55
2025_06_06,2766,115.202,983.8,413.4,13.2,12.2,118
2025_06_06,2766,115.202,574.7,429.6,11.8,10.4,87
2025_06_06,2766,115.202,303.6,620.4,8.4,6.9,53
2025_06_06,2767,115.24365,226.2,146.8,17.2,13.9,182
2025_06_06,2767,115.24365,892.0,688.2,12.8,9.9,111
2025_06_06,2767,115.24365,1228.1,526.7,14.1,12.1,148
2025_06_06,2767,115.24365,557.0,442.0,13.3,10.9,114
2025_06_06,2767,115.24365,1150.8,613.4,12.0,11.7,129
2025_06_06,2767,115.24365,454.6,38.5,11.4,11.6,103
2025_06_06,2767,115.24365,872.8,270.9,12.9,13.2,124
2025_06_06,2767,115.24365,983.7,413.4,13.1,12.2,119
2025_06_06,2767,115.24365,276.3,679.3,8.9,9.4,56
2025_06_06,2767,115.24365,574.3,429.7,11.6,10.6,88
2025_06_06,2767,115.24365,303.5,620.4,8.3,6.6,51
2025_06_06,2768,115.2853,1228.1,526.7,14.1,12.1,148
2025_06_06,2768,115.2853,226.1,146.7,17.2,14.0,183
2025_06_06,2768,115.2853,892.2,688.1,12.9,9.9,113
2025_06_06,2768,115.2853,557.2,442.0,13.2,10.8,115
2025_06_06,2768,115.2853,1150.7,613.4,12.0,11.8,125
2025_06_06,2768,115.2853,872.5,270.7,12.6,13.1,117
2025_06_06,2768,115.2853,455.0,38.9,11.3,11.3,98
2025_06_06,2768,115.2853,276.2,679.3,8.9,9.3,54
2025_06_06,2768,115.2853,983.5,414.1,13.2,11.7,118
2025_06_06,2768,115.2853,574.4,429.7,11.6,10.8,89
2025_06_06,2768,115.2853,303.3,620.5,8.2,6.6,49
2025_06_06,2769,115.32695,1227.8,526.7,14.1,12.1,150
2025_06_06,2769,115.32695,892.2,688.1,13.0,10.0,114
2025_06_06,2769,115.32695,1150.8,613.4,12.0,11.7,126
2025_06_06,2769,115.32695,557.1,442.1,12.8,10.5,115
2025_06_06,2769,115.32695,226.3,146.8,17.2,14.0,181
2025_06_06,2769,115.32695,276.6,680.3,8.3,9.1,50
2025_06_06,2769,115.32695,872.4,270.8,12.6,13.2,117
2025_06_06,2769,115.32695,574.3,429.8,11.7,11.0,93
2025_06_06,2769,115.32695,456.5,40.1,10.7,10.2,90
2025_06_06,2769,115.32695,983.6,414.4,13.3,11.9,123
2025_06_06,2769,115.32695,303.3,620.6,8.1,6.6,49
2025_06_06,2770,115.3686,1227.6,526.5,14.2,11.9,148
2025_06_06,2770,115.3686,1150.8,613.1,11.8,11.5,125
2025_06_06,2770,115.3686,892.2,688.1,12.9,10.0,114
2025_06_06,2770,115.3686,557.4,442.3,13.1,10.7,113
2025_06_06,2770,115.3686,226.4,146.6,17.1,13.7,173
2025_06_06,2770,115.3686,276.7,680.5,8.0,8.7,48
2025_06_06,2770,115.3686,456.7,40.8,9.2,9.3,79
2025_06_06,2770,115.3686,872.2,270.7,12.3,13.4,113
2025_06_06,2770,115.3686,983.5,414.7,12.8,12.2,119
2025_06_06,2770,115.3686,574.4,429.9,11.5,11.2,93
2025_06_06,2770,115.3686,455.9,39.8,9.8,10.1,84
2025_06_06,2771,115.41025,1227.4,526.5,14.2,12.0,151
2025_06_06,2771,115.41025,1150.8,613.1,11.8,11.6,125
2025_06_06,2771,115.41025,892.3,688.1,13.0,10.0,117
2025_06_06,2771,115.41025,557.4,442.3,13.2,10.6,115
2025_06_06,2771,115.41025,226.6,146.4,17.0,13.8,175
2025_06_06,2771,115.41025,276.9,680.7,8.2,9.1,50
2025_06_06,2771,115.41025,457.0,41.0,10.1,9.4,76
2025_06_06,2771,115.41025,871.3,270.5,13.8,14.2,138
2025_06_06,2771,115.41025,574.3,430.0,11.7,11.2,92
2025_06_06,2771,115.41025,983.5,414.8,12.5,12.8,126
2025_06_06,2771,115.41025,456.1,39.7,11.0,10.6,86
2025_06_06,2772,115.4519,1227.3,526.4,14.1,12.0,149
2025_06_06,2772,115.4519,557.6,442.5,13.4,10.5,111
2025_06_06,2772,115.4519,1150.8,613.0,11.7,11.5,127
2025_06_06,2772,115.4519,892.5,688.0,13.1,10.0,115
2025_06_06,2772,115.4519,227.0,146.4,16.8,14.1,178
2025_06_06,2772,115.4519,277.1,680.9,7.8,8.8,47
2025_06_06,2772,115.4519,457.2,40.9,9.7,9.7,70
2025_06_06,2772,115.4519,871.2,270.9,13.1,13.6,132
2025_06_06,2772,115.4519,574.1,429.9,11.8,11.2,92
2025_06_06,2772,115.4519,983.0,415.0,12.1,12.6,118
2025_06_06,2773,115.49354,1227.0,526.3,14.3,12.1,152
2025_06_06,2773,115.49354,1151.0,612.8,11.4,11.5,126
2025_06_06,2773,115.49354,557.8,442.6,13.0,10.4,112
2025_06_06,2773,115.49354,227.3,146.1,16.7,14.2,182
2025_06_06,2773,115.49354,892.5,687.9,13.0,9.9,114
2025_06_06,2773,115.49354,277.0,680.9,7.8,8.7,47
2025_06_06,2773,115.49354,456.9,40.2,11.0,11.4,153
2025_06_06,2773,115.49354,871.0,270.9,12.7,13.3,128
2025_06_06,2773,115.49354,983.1,414.8,11.9,12.5,121
2025_06_06,2773,115.49354,574.2,429.9,11.8,11.2,91
2025_06_06,2774,115.53519,227.5,146.1,16.6,14.2,179
2025_06_06,2774,115.53519,1151.0,612.8,11.3,11.6,126
2025_06_06,2774,115.53519,1226.5,526.0,13.9,11.9,147
2025_06_06,2774,115.53519,557.9,442.8,13.1,10.4,107
2025_06_06,2774,115.53519,892.6,688.0,13.2,10.0,117
2025_06_06,2774,115.53519,277.1,681.0,7.9,8.7,47
2025_06_06,2774,115.53519,456.7,40.4,12.2,12.3,101
2025_06_06,2774,115.53519,870.7,270.4,11.8,12.1,114
2025_06_06,2774,115.53519,982.9,415.2,12.8,12.9,128
2025_06_06,2774,115.53519,574.3,429.9,11.6,11.0,91
2025_06_06,2775,115.57684,1151.0,612.6,11.3,11.6,125
2025_06_06,2775,115.57684,227.5,146.2,16.3,14.2,173
2025_06_06,2775,115.57684,892.7,688.0,13.1,9.9,114
2025_06_06,2775,115.57684,558.2,442.9,13.0,10.6,104
2025_06_06,2775,115.57684,1226.4,525.8,14.1,12.0,145
2025_06_06,2775,115.57684,277.2,681.5,7.4,8.1,41
2025_06_06,2775,115.57684,457.4,40.9,11.2,11.4,86
2025_06_06,2775,115.57684,870.7,270.3,12.0,12.3,112
2025_06_06,2775,115.57684,982.6,415.2,12.3,12.9,114
2025_06_06,2775,115.57684,574.2,429.9,11.6,11.0,91
2025_06_06,2776,115.61849,1151.0,612.4,11.3,11.4,122
2025_06_06,2776,115.61849,227.6,146.3,16.7,14.3,180
2025_06_06,2776,115.61849,892.8,688.0,13.2,10.0,116
2025_06_06,2776,115.61849,558.4,443.0,13.0,10.8,108
2025_06_06,2776,115.61849,1226.2,525.8,14.3,12.1,149
2025_06_06,2776,115.61849,277.3,681.2,7.7,8.7,46
2025_06_06,2776,115.61849,870.6,270.1,11.9,12.1,110
2025_06_06,2776,115.61849,457.7,41.4,10.5,10.5,72
2025_06_06,2776,115.61849,981.9,415.8,12.0,12.1,111
2025_06_06,2776,115.61849,573.7,430.1,11.2,10.7,89
2025_06_06,2777,115.66014,1151.0,612.3,11.2,11.5,121
2025_06_06,2777,115.66014,227.6,146.4,16.4,14.1,172
2025_06_06,2777,115.66014,893.0,687.9,13.2,10.0,114
2025_06_06,2777,115.66014,1226.1,525.8,14.3,12.1,148
2025_06_06,2777,115.66014,558.5,443.1,13.3,10.8,109
2025_06_06,2777,115.66014,277.3,681.4,7.5,8.3,45
2025_06_06,2777,115.66014,457.7,41.8,11.1,10.8,71
2025_06_06,2777,115.66014,870.4,269.8,11.7,11.8,107
2025_06_06,2777,115.66014,982.0,416.1,12.1,12.0,110
2025_06_06,2777,115.66014,573.6,430.2,11.1,10.7,90
2025_06_06,2777,115.66014,337.9,707.6,7.1,7.0,48
2025_06_06,2778,115.70179,1151.1,612.2,11.4,11.5,124
2025_06_06,2778,115.70179,227.8,146.5,15.9,14.2,173
2025_06_06,2778,115.70179,893.0,687.9,13.2,10.1,115
2025_06_06,2778,115.70179,558.8,443.3,13.6,10.9,108
2025_06_06,2778,115.70179,277.2,681.3,7.6,8.3,44
2025_06_06,2778,115.70179,1226.0,525.7,14.6,12.3,149
2025_06_06,2778,115.70179,457.6,41.7,10.4,10.9,74
2025_06_06,2778,115.70179,870.5,269.8,12.0,12.5,115
2025_06_06,2778,115.70179,981.8,416.3,11.9,12.2,104
2025_06_06,2778,115.70179,573.5,430.1,11.3,10.9,91
2025_06_06,2778,115.70179,337.9,707.6,7.1,6.9,48
2025_06_06,2778,115.70179,302.6,621.0,7.9,6.4,47
2025_06_06,2779,115.74344,1151.1,612.2,11.3,11.5,124
2025_06_06,2779,115.74344,893.2,688.1,13.3,10.1,118
2025_06_06,2779,115.74344,228.0,146.4,16.1,14.3,177
2025_06_06,2779,115.74344,457.5,41.7,10.7,11.7,83
2025_06_06,2779,115.74344,277.2,680.9,7.8,9.3,51
2025_06_06,2779,115.74344,559.0,443.5,13.7,11.0,104
2025_06_06,2779,115.74344,1225.9,525.7,14.4,12.3,168
2025_06_06,2779,115.74344,870.3,269.8,12.4,12.8,120
2025_06_06,2779,115.74344,981.7,416.6,12.1,12.5,113
2025_06_06,2779,115.74344,302.4,620.9,8.3,6.5,47
2025_06_06,2779,115.74344,337.9,707.6,7.0,6.8,48
2025_06_06,2779,115.74344,573.4,430.2,11.7,11.1,91
2025_06_06,2780,115.78509,893.6,688.2,12.7,9.8,115
2025_06_06,2780,115.78509,1151.2,612.0,11.1,10.9,118
2025_06_06,2780,115.78509,228.2,146.1,15.8,14.5,174
2025_06_06,2780,115.78509,277.4,681.8,7.1,8.8,46
2025_06_06,2780,115.78509,1225.5,525.9,14.0,12.2,145
2025_06_06,2780,115.78509,457.5,42.0,11.1,11.7,96
2025_06_06,2780,115.78509,559.5,443.3,14.1,10.8,98
2025_06_06,2780,115.78509,301.7,620.8,7.7,6.8,48
2025_06_06,2780,115.78509,870.1,269.6,12.4,12.9,116
2025_06_06,2780,115.78509,981.5,416.8,11.5,13.0,112
2025_06_06,2781,115.82674,893.6,688.2,12.7,9.8,114
2025_06_06,2781,115.82674,1151.2,611.9,11.1,11.0,117
2025_06_06,2781,115.82674,228.3,146.0,16.0,14.6,181
2025_06_06,2781,115.82674,277.5,681.7,7.2,9.0,50
2025_06_06,2781,115.82674,1225.2,525.8,14.0,12.2,143
2025_06_06,2781,115.82674,457.7,42.4,11.1,11.1,90
2025_06_06,2781,115.82674,559.5,443.6,13.7,10.3,98
2025_06_06,2781,115.82674,301.4,621.1,7.7,6.7,48
2025_06_06,2781,115.82674,870.0,269.4,12.4,13.3,120
2025_06_06,2781,115.82674,981.5,417.2,12.0,12.7,116
2025_06_06,2781,115.82674,573.1,430.1,11.8,10.7,91
2025_06_06,2782,115.86839,893.6,688.2,12.7,10.0,118
2025_06_06,2782,115.86839,1151.1,611.8,11.0,11.1,114
2025_06_06,2782,115.86839,228.6,146.0,16.2,14.7,184
2025_06_06,2782,115.86839,277.4,681.5,7.3,9.2,50
2025_06_06,2782,115.86839,457.8,42.4,11.4,11.6,90
2025_06_06,2782,115.86839,1224.9,525.7,14.1,11.8,145
2025_06_06,2782,115.86839,559.7,443.7,13.9,10.4,102
2025_06_06,2782,115.86839,301.4,621.1,7.7,6.7,46
2025_06_06,2782,115.86839,869.8,269.2,12.2,13.2,113
2025_06_06,2782,115.86839,981.4,417.5,12.1,12.8,114
2025_06_06,2783,115.91004,1151.2,611.8,10.9,11.1,117
2025_06_06,2783,115.91004,893.7,688.2,12.8,10.0,119
2025_06_06,2783,115.91004,1224.4,525.6,14.1,11.9,142
2025_06_06,2783,115.91004,277.6,681.6,7.5,9.8,56
2025_06_06,2783,115.91004,457.9,42.7,11.6,11.6,92
2025_06_06,2783,115.91004,228.7,145.9,16.6,14.9,181
2025_06_06,2783,115.91004,869.8,269.2,12.3,13.2,115
2025_06_06,2783,115.91004,301.0,621.2,7.8,6.9,49
2025_06_06,2783,115.91004,559.9,443.9,14.0,10.4,103
2025_06_06,2783,115.91004,981.2,417.9,11.9,12.7,112
2025_06_06,2784,115.95169,1151.1,611.7,10.9,11.0,114
2025_06_06,2784,115.95169,893.7,688.2,12.5,9.9,116
2025_06_06,2784,115.95169,1224.1,525.6,14.1,11.9,147
2025_06_06,2784,115.95169,277.9,682.1,7.2,9.6,52
2025_06_06,2784,115.95169,228.8,146.0,16.3,15.0,184
2025_06_06,2784,115.95169,458.4,43.4,10.6,10.3,83
2025_06_06,2784,115.95169,869.7,269.1,12.3,13.2,112
2025_06_06,2784,115.95169,559.9,444.1,14.2,10.5,105
2025_06_06,2784,115.95169,301.0,621.2,8.0,6.8,49
2025_06_06,2784,115.95169,981.3,417.8,12.1,12.6,118
2025_06_06,2785,115.99334,893.7,688.2,12.5,9.9,115
2025_06_06,2785,115.99334,1151.1,611.3,11.2,11.6,119
2025_06_06,2785,115.99334,1223.8,525.4,14.0,11.8,141
2025_06_06,2785,115.99334,278.0,682.4,7.1,9.2,49
2025_06_06,2785,115.99334,869.5,269.2,12.2,12.7,114
2025_06_06,2785,115.99334,458.5,43.5,10.7,10.2,80
2025_06_06,2785,115.99334,229.0,145.9,16.4,14.8,181
2025_06_06,2785,115.99334,560.1,444.0,14.2,10.5,104
2025_06_06,2785,115.99334,300.9,621.2,8.0,6.8,49
2025_06_06,2785,115.99334,981.2,418.1,12.2,12.9,120
2025_06_06,2786,116.03499,894.0,688.2,12.5,9.7,113
2025_06_06,2786,116.03499,1150.9,611.3,11.7,11.5,123
2025_06_06,2786,116.03499,1223.6,525.5,14.1,11.9,139
2025_06_06,2786,116.03499,278.0,682.4,7.0,8.9,47
2025_06_06,2786,116.03499,869.4,269.0,12.1,12.8,112
2025_06_06,2786,116.03499,458.2,43.4,10.6,10.7,79
2025_06_06,2786,116.03499,560.1,444.1,14.4,10.6,104
2025_06_06,2786,116.03499,229.1,145.8,16.4,14.4,179
2025_06_06,2786,116.03499,300.9,621.1,7.9,6.6,49
2025_06_06,2786,116.03499,981.1,418.1,12.8,12.9,118
2025_06_06,2787,116.07663,1150.9,611.2,11.8,11.5,124
2025_06_06,2787,116.07663,894.0,688.2,12.5,9.7,113
2025_06_06,2787,116.07663,1223.5,525.3,14.0,11.8,138
2025_06_06,2787,116.07663,278.0,682.4,7.0,9.0,47
2025_06_06,2787,116.07663,561.0,444.6,13.3,10.3,97
2025_06_06,2787,116.07663,869.3,268.7,12.0,12.4,108
2025_06_06,2787,116.07663,458.2,43.4,11.2,11.3,92
2025_06_06,2787,116.07663,229.2,145.6,16.2,14.0,177
2025_06_06,2787,116.07663,300.5,621.3,8.1,6.7,45
2025_06_06,2787,116.07663,981.2,417.9,12.3,12.7,115
2025_06_06,2788,116.11828,894.0,688.2,12.6,9.8,113
2025_06_06,2788,116.11828,1151.0,611.1,11.3,11.9,119
2025_06_06,2788,116.11828,229.1,145.7,16.2,14.5,181
2025_06_06,2788,116.11828,1223.6,525.3,14.3,12.1,139
2025_06_06,2788,116.11828,278.1,682.4,7.1,8.9,48
2025_06_06,2788,116.11828,868.9,268.4,12.1,12.7,108
2025_06_06,2788,116.11828,561.1,444.4,13.5,10.4,101
2025_06_06,2788,116.11828,457.9,43.7,10.9,11.3,86
2025_06_06,2788,116.11828,300.1,621.3,7.7,6.6,42
2025_06_06,2788,116.11828,981.2,418.0,12.2,12.9,119
2025_06_06,2789,116.15993,894.0,688.3,12.7,9.7,115
2025_06_06,2789,116.15993,1151.0,611.0,11.3,12.0,122
2025_06_06,2789,116.15993,561.3,444.7,13.1,10.3,100
2025_06_06,2789,116.15993,1223.4,525.4,14.4,12.2,143
2025_06_06,2789,116.15993,278.2,682.1,7.3,9.7,49
2025_06_06,2789,116.15993,868.8,268.4,12.4,12.8,110
2025_06_06,2789,116.15993,229.5,145.7,16.2,14.4,179
2025_06_06,2789,116.15993,300.1,621.3,7.7,6.6,42
2025_06_06,2789,116.15993,458.0,43.6,10.9,11.3,89
2025_06_06,2789,116.15993,981.1,418.0,12.3,12.9,118
2025_06_06,2790,116.20158,894.0,688.3,12.7,9.9,115
2025_06_06,2790,116.20158,1151.0,611.0,11.3,12.0,122
2025_06_06,2790,116.20158,1223.1,525.5,14.4,12.2,143
2025_06_06,2790,116.20158,561.3,444.5,13.0,10.1,99
2025_06_06,2790,116.20158,278.2,682.1,7.5,9.9,51
2025_06_06,2790,116.20158,868.4,268.1,12.6,13.0,114
2025_06_06,2790,116.20158,229.6,145.5,16.7,14.3,182
2025_06_06,2790,116.20158,300.1,621.3,7.8,6.7,43
2025_06_06,2790,116.20158,458.1,44.1,10.5,11.4,85
2025_06_06,2790,116.20158,981.0,418.2,12.4,13.0,116
2025_06_06,2791,116.24323,894.1,688.3,12.5,9.7,112
2025_06_06,2791,116.24323,1151.0,610.7,10.9,11.9,120
2025_06_06,2791,116.24323,561.5,444.6,12.9,10.3,94
2025_06_06,2791,116.24323,1223.0,525.4,14.4,12.2,141
2025_06_06,2791,116.24323,278.4,682.3,7.6,9.9,51
2025_06_06,2791,116.24323,229.7,145.3,16.6,14.1,182
2025_06_06,2791,116.24323,868.2,268.5,13.3,13.4,123
2025_06_06,2791,116.24323,300.1,621.3,7.8,6.9,43
2025_06_06,2791,116.24323,980.9,418.5,12.1,12.7,115
2025_06_06,2791,116.24323,457.9,43.8,11.2,12.5,105
2025_06_06,2792,116.28488,894.2,688.3,12.5,9.8,112
2025_06_06,2792,116.28488,1151.0,610.5,10.7,11.6,118
2025_06_06,2792,116.28488,561.5,444.7,12.9,10.3,95
2025_06_06,2792,116.28488,1222.7,525.2,14.2,12.2,142
2025_06_06,2792,116.28488,278.3,682.4,7.8,10.2,55
2025_06_06,2792,116.28488,868.1,268.2,13.2,13.6,123
2025_06_06,2792,116.28488,229.8,145.1,16.5,13.7,180
2025_06_06,2792,116.28488,299.7,621.2,8.1,7.0,44
2025_06_06,2792,116.28488,458.2,44.2,11.0,11.9,92
2025_06_06,2792,116.28488,980.8,418.6,12.1,12.9,118
2025_06_06,2793,116.32653,894.2,688.3,12.7,9.8,112
2025_06_06,2793,116.32653,1151.0,610.4,10.6,11.9,119
2025_06_06,2793,116.32653,561.5,444.7,12.8,10.3,96
2025_06_06,2793,116.32653,867.8,267.1,12.1,12.3,108
2025_06_06,2793,116.32653,1222.7,525.2,14.2,12.3,141
2025_06_06,2793,116.32653,278.3,682.5,8.1,10.4,55
2025_06_06,2793,116.32653,229.6,145.3,16.2,13.7,183
2025_06_06,2793,116.32653,458.0,44.5,11.1,11.2,90
2025_06_06,2793,116.32653,299.7,621.2,8.1,6.9,43
2025_06_06,2793,116.32653,980.6,418.7,12.1,12.6,116
2025_06_06,2794,116.36818,894.3,688.3,12.8,9.8,113
2025_06_06,2794,116.36818,1151.0,610.3,10.7,11.8,119
2025_06_06,2794,116.36818,561.7,444.9,13.2,10.3,99
2025_06_06,2794,116.36818,1222.4,525.3,14.1,12.1,141
2025_06_06,2794,116.36818,867.8,267.1,12.6,13.1,123
2025_06_06,2794,116.36818,229.6,145.3,16.1,13.8,178
2025_06_06,2794,116.36818,278.2,682.5,8.0,10.2,56
2025_06_06,2794,116.36818,458.2,44.5,11.2,11.2,91
2025_06_06,2794,116.36818,299.7,621.2,8.2,6.9,42
2025_06_06,2794,116.36818,980.5,418.6,12.1,12.6,116
2025_06_06,2795,116.40983,894.3,688.3,12.7,9.9,112
2025_06_06,2795,116.40983,561.8,445.1,13.2,10.3,99
2025_06_06,2795,116.40983,1150.9,610.2,10.4,11.9,137
2025_06_06,2795,116.40983,1222.2,525.3,13.9,12.1,140
2025_06_06,2795,116.40983,229.8,145.2,16.0,14.0,177
2025_06_06,2795,116.40983,867.4,267.3,12.2,12.9,115
2025_06_06,2795,116.40983,458.6,44.2,12.1,12.1,102
2025_06_06,2795,116.40983,278.4,683.4,7.9,9.8,58
2025_06_06,2795,116.40983,299.7,621.2,8.1,6.8,42
2025_06_06,2795,116.40983,980.4,419.1,12.2,12.9,114
2025_06_06,2796,116.45148,894.3,688.4,12.7,9.8,112
2025_06_06,2796,116.45148,561.9,445.2,13.0,10.2,97
2025_06_06,2796,116.45148,1222.1,525.3,14.1,12.1,139
2025_06_06,2796,116.45148,1150.9,610.0,10.4,11.8,110
2025_06_06,2796,116.45148,229.8,145.1,15.8,13.7,174
2025_06_06,2796,116.45148,458.4,44.6,11.9,11.9,94
2025_06_06,2796,116.45148,867.3,267.4,12.5,13.2,115
2025_06_06,2796,116.45148,278.4,683.4,8.0,9.9,58
2025_06_06,2796,116.45148,299.3,621.3,8.1,6.9,41
2025_06_06,2796,116.45148,980.4,419.2,11.6,12.4,107
2025_06_06,2796,116.45148,693.1,51.3,12.0,10.0,79
2025_06_06,2797,116.49313,894.4,688.4,12.7,9.8,112
2025_06_06,2797,116.49313,562.0,445.5,13.1,10.5,99
2025_06_06,2797,116.49313,1221.7,525.2,14.0,12.2,137
2025_06_06,2797,116.49313,1150.9,610.0,10.4,11.8,111
2025_06_06,2797,116.49313,229.9,145.2,15.6,13.7,174
2025_06_06,2797,116.49313,458.8,45.6,11.3,10.7,82
2025_06_06,2797,116.49313,278.4,683.4,8.1,9.8,57
2025_06_06,2797,116.49313,867.2,267.4,13.0,13.0,117
2025_06_06,2797,116.49313,298.9,621.4,7.8,6.8,42
2025_06_06,2798,116.53478,894.4,688.5,12.6,9.6,112
2025_06_06,2798,116.53478,562.3,445.7,13.0,10.5,101
2025_06_06,2798,116.53478,1221.5,525.1,13.9,12.4,143
2025_06_06,2798,116.53478,1150.9,609.9,10.4,11.8,111
2025_06_06,2798,116.53478,230.1,145.0,15.9,13.6,174
2025_06_06,2798,116.53478,867.2,266.8,12.6,12.3,109
2025_06_06,2798,116.53478,458.8,45.5,11.5,11.4,86
2025_06_06,2798,116.53478,278.3,683.1,8.3,10.3,59
2025_06_06,2798,116.53478,298.7,621.4,7.8,6.7,44
2025_06_06,2798,116.53478,980.1,420.2,11.3,12.2,105
2025_06_06,2799,116.57643,894.4,688.5,12.6,9.6,112
2025_06_06,2799,116.57643,562.4,445.9,13.0,10.3,99
2025_06_06,2799,116.57643,1151.0,609.9,10.4,11.8,111
2025_06_06,2799,116.57643,1221.3,524.9,13.7,12.2,142
2025_06_06,2799,116.57643,230.1,145.0,16.0,13.5,177
2025_06_06,2799,116.57643,866.8,266.9,12.8,11.8,106
2025_06_06,2799,116.57643,458.8,46.2,11.2,10.6,76
2025_06_06,2799,116.57643,298.7,621.4,7.7,6.7,41
2025_06_06,2799,116.57643,278.4,683.0,8.5,10.5,59
2025_06_06,2799,116.57643,980.2,420.2,11.5,12.4,105
2025_06_06,2800,116.61808,894.6,688.5,12.7,9.8,112
2025_06_06,2800,116.61808,562.5,446.0,13.3,10.5,104
2025_06_06,2800,116.61808,1150.9,609.9,10.4,11.7,112
2025_06_06,2800,116.61808,230.3,144.9,15.9,13.7,178
2025_06_06,2800,116.61808,1221.0,525.0,13.6,12.2,140
2025_06_06,2800,116.61808,866.9,266.9,12.6,11.7,104
2025_06_06,2800,116.61808,458.9,46.2,11.2,10.2,74
2025_06_06,2800,116.61808,278.7,683.3,8.0,10.0,56
2025_06_06,2800,116.61808,298.7,621.5,7.5,6.7,42
2025_06_06,2800,116.61808,980.1,420.1,11.8,12.6,110
2025_06_06,2801,116.65973,894.7,688.5,12.9,9.8,113
2025_06_06,2801,116.65973,562.8,446.2,13.3,10.2,107
2025_06_06,2801,116.65973,1150.9,609.8,10.4,11.7,112
2025_06_06,2801,116.65973,1220.7,525.0,13.5,12.2,141
2025_06_06,2801,116.65973,230.3,144.9,15.9,13.6,179
2025_06_06,2801,116.65973,867.1,266.8,12.1,11.4,96
2025_06_06,2801,116.65973,278.4,683.6,8.2,10.2,58
2025_06_06,2801,116.65973,298.7,621.5,7.4,6.9,42
2025_06_06,2801,116.65973,459.3,46.7,10.9,10.3,76
2025_06_06,2801,116.65973,979.8,420.9,11.9,12.5,108
2025_06_06,2802,116.70137,894.6,688.5,12.8,9.8,114
2025_06_06,2802,116.70137,1151.0,609.6,10.3,11.4,112
2025_06_06,2802,116.70137,563.0,446.4,13.4,10.3,107
2025_06_06,2802,116.70137,1220.4,524.9,13.4,12.0,139
