frame_idx,time_s,jelly_id,x_center,y_center,width,height,bbox_area_px
102,3.4034,5,1057.87,2079.59,15.97,15.12,241.41
102,3.4034,3,2098.67,1724.33,11.81,17.25,203.76
108,3.6036,1,3116.94,511.81,27.29,22.54,615.0
108,3.6036,2,2774.87,377.09,17.58,17.9,314.67
108,3.6036,4,2680.68,1389.13,23.88,17.43,416.25
108,3.6036,5,1060.97,2081.01,16.45,15.68,257.9
108,3.6036,21,1584.21,857.92,22.99,15.23,350.15
114,3.8038,1,3116.04,513.69,27.61,22.41,618.8
114,3.8038,2,2774.74,379.45,17.59,17.7,311.31
114,3.8038,4,2683.54,1389.42,24.65,18.19,448.28
114,3.8038,5,1063.69,2082.55,16.32,15.59,254.33
114,3.8038,21,1588.22,859.0,22.51,14.96,336.76
114,3.8038,3,2101.27,1721.78,10.01,14.46,144.64
120,4.004,1,3115.42,515.37,28.55,22.88,653.19
120,4.004,2,2774.59,381.53,18.5,18.63,344.6
120,4.004,4,2685.94,1390.02,25.85,19.49,503.82
120,4.004,5,1066.4,2084.06,16.77,16.1,269.9
120,4.004,21,1591.78,859.87,23.62,15.78,372.66
120,4.004,3,2102.41,1721.05,9.89,14.29,141.38
126,4.2042,1,3114.58,517.09,29.96,23.82,713.6
126,4.2042,2,2774.16,383.02,20.22,20.51,414.73
126,4.2042,4,2688.02,1393.32,24.85,18.8,467.12
126,4.2042,5,1068.95,2085.32,18.21,17.74,323.0
126,4.2042,21,1595.94,861.44,22.92,15.26,349.7
126,4.2042,3,2103.04,1719.97,9.92,14.4,142.84
132,4.4044,1,3113.21,519.63,29.76,23.46,697.91
132,4.4044,2,2773.45,386.32,18.89,18.96,358.22
132,4.4044,4,2690.49,1395.2,22.88,17.37,397.31
132,4.4044,5,1071.4,2086.04,19.04,18.88,359.43
132,4.4044,21,1598.57,863.18,22.21,14.8,328.59
132,4.4044,3,2103.92,1719.21,9.54,13.74,131.07
138,4.6046,1,3112.02,521.86,30.1,23.5,707.35
138,4.6046,2,2772.9,388.78,18.24,18.17,331.5
138,4.6046,4,2693.16,1396.01,21.8,16.53,360.46
138,4.6046,5,1074.03,2089.4,18.78,18.87,354.51
138,4.6046,21,1601.44,863.89,21.82,14.56,317.67
138,4.6046,3,2104.77,1718.91,9.51,13.63,129.7
144,4.8048,2,2772.77,391.36,18.31,18.13,332.02
144,4.8048,4,2696.05,1396.54,20.82,15.71,327.09
144,4.8048,5,1076.53,2090.9,18.22,18.45,336.19
144,4.8048,21,1605.28,864.26,21.74,14.51,315.32
144,4.8048,3,2105.78,1717.52,9.76,13.78,134.55
150,5.005,2,2772.22,394.13,18.61,18.35,341.46
150,5.005,4,2698.74,1396.82,20.43,15.32,312.91
150,5.005,21,1609.16,864.39,21.89,14.64,320.38
150,5.005,3,2106.47,1716.06,10.14,14.01,142.03
150,5.005,1,3110.18,525.38,31.06,24.18,750.96
156,5.2052,2,2772.02,396.51,19.1,18.73,357.72
156,5.2052,4,2701.34,1397.62,20.38,15.18,309.37
156,5.2052,21,1612.44,864.82,23.38,15.81,369.66
156,5.2052,3,2107.04,1714.01,10.24,13.65,139.7
156,5.2052,1,3109.29,526.84,31.49,24.47,770.46
156,5.2052,5,1083.07,2093.28,16.63,16.63,276.56
162,5.4054,2,2771.42,398.52,19.03,18.52,352.43
162,5.4054,4,2703.79,1398.27,19.39,14.32,277.64
162,5.4054,21,1615.82,865.47,23.75,16.19,384.6
162,5.4054,3,2107.37,1712.19,10.62,13.7,145.48
162,5.4054,1,3107.46,528.74,30.91,24.06,743.54
162,5.4054,5,1085.58,2094.85,16.26,16.17,262.82
168,5.6056,2,2771.59,400.06,18.74,18.11,339.35
168,5.6056,4,2706.62,1398.84,20.26,14.9,301.9
168,5.6056,21,1619.01,865.95,23.28,15.94,371.04
168,5.6056,1,3106.26,530.37,31.33,24.49,767.16
168,5.6056,5,1088.36,2096.23,15.52,15.43,239.44
