jelly_id,frame_idx,x_center,y_center,width,height,marked,nb_pixels,balisee_id
771,298,550.66,1715.58,16.49,16.76,1,276.47,Balisée #2
795,298,55.6,1286.8,16.74,17.98,0,300.92,
764,299,2310.25,1238.23,23.9,20.32,1,485.6,Balisée #3
770,299,2324.06,1633.06,13.03,14.45,0,188.28,
767,299,243.9,1130.5,16.8,19.63,1,329.79,Balisée #1
787,299,1228.3,1700.78,17.7,20.02,1,354.35,Balisée #4
765,299,3398.54,2139.65,16.96,20.08,0,340.62,
771,299,553.48,1717.74,16.27,16.08,1,261.63,Balisée #2
795,299,58.26,1285.43,16.93,18.03,0,305.26,
764,300,2309.78,1238.02,23.56,19.85,1,467.7,Balisée #3
770,300,2325.9,1631.54,13.15,14.57,0,191.48,
767,300,244.23,1131.57,15.96,18.49,1,295.15,Balisée #1
787,300,1229.35,1699.76,18.07,20.52,1,370.84,Balisée #4
765,300,3400.94,2140.76,16.85,19.56,0,329.61,
771,300,554.93,1719.71,16.8,16.25,1,273.08,Balisée #2
795,300,60.43,1284.07,17.02,18.0,0,306.36,
764,301,2309.4,1237.62,23.83,19.89,1,474.0,Balisée #3
770,301,2328.24,1630.25,13.07,14.45,0,188.93,
767,301,244.61,1133.0,16.37,19.07,1,312.2,Balisée #1
787,301,1230.4,1697.51,17.22,19.54,1,336.37,Balisée #4
765,301,3402.95,2140.75,16.41,18.74,0,307.5,
771,301,556.19,1721.45,16.64,15.74,1,261.81,Balisée #2
795,301,62.78,1282.6,17.68,18.67,0,330.12,
764,302,2309.27,1236.6,23.67,19.56,1,463.09,Balisée #3
770,302,2330.99,1628.07,13.32,14.74,0,196.39,
767,302,244.96,1134.26,16.24,19.07,1,309.56,Balisée #1
787,302,1232.02,1694.53,14.93,16.74,1,250.0,Balisée #4
765,302,3404.71,2140.47,16.63,18.7,0,311.0,
771,302,557.51,1722.78,16.69,15.5,1,258.77,Balisée #2
795,302,64.56,1281.55,17.42,18.33,0,319.44,
764,303,2309.29,1235.4,23.63,19.32,1,456.55,Balisée #3
770,303,2333.65,1626.24,13.0,14.41,0,187.31,
767,303,245.07,1135.72,15.98,18.89,1,301.88,Balisée #1
787,303,1233.56,1695.23,17.59,19.91,1,350.19,Balisée #4
765,303,3406.58,2140.91,17.18,18.85,0,323.85,
771,303,559.61,1723.95,17.14,15.58,1,266.92,Balisée #2
795,303,65.83,1280.35,17.34,18.16,0,314.78,
764,304,2309.13,1233.34,23.58,19.0,1,447.86,Balisée #3
770,304,2336.11,1624.11,13.52,15.09,0,204.01,
767,304,245.57,1136.95,15.67,18.72,1,293.4,Balisée #1
787,304,1235.09,1694.17,17.73,20.19,1,357.96,Balisée #4
765,304,3410.21,2141.39,17.18,18.67,0,320.81,
771,304,561.94,1725.65,17.31,15.42,1,267.0,Balisée #2
795,304,67.44,1279.0,17.74,18.53,0,328.61,
764,305,2308.84,1231.57,24.33,19.43,1,472.68,Balisée #3
770,305,2338.5,1621.55,13.76,15.41,0,212.1,
767,305,246.16,1138.28,15.45,18.62,1,287.67,Balisée #1
787,305,1236.42,1691.17,14.87,16.46,1,244.75,Balisée #4
765,305,3413.21,2142.25,17.06,18.36,0,313.26,
771,305,563.6,1727.36,17.67,15.26,1,269.63,Balisée #2
795,305,69.49,1277.34,18.1,18.85,0,341.05,
764,306,2308.74,1230.36,24.38,19.29,1,470.35,Balisée #3
770,306,2341.1,1618.85,13.54,15.26,0,206.53,
767,306,246.91,1139.28,15.83,19.24,1,304.72,Balisée #1
787,306,1237.47,1688.26,14.56,15.8,1,230.05,Balisée #4
765,306,3415.65,2143.46,16.66,17.75,0,295.64,
771,306,566.2,1729.96,20.6,17.95,1,369.62,Balisée #2
795,306,70.76,1275.83,18.58,19.16,0,356.01,
764,307,2309.45,1229.88,24.55,19.34,1,474.81,Balisée #3
770,307,2343.92,1616.47,13.44,15.14,0,203.4,
767,307,247.83,1140.66,15.53,19.07,1,296.09,Balisée #1
787,307,1239.79,1686.51,14.0,14.86,1,208.05,Balisée #4
765,307,3419.16,2144.23,16.47,17.28,0,284.57,
771,307,569.11,1731.28,20.76,18.15,1,376.8,Balisée #2
795,307,73.55,1274.72,18.42,18.77,0,345.82,
764,308,2310.19,1229.58,24.77,19.5,1,482.94,Balisée #3
770,308,2346.95,1613.88,13.72,15.37,0,210.81,
767,308,248.87,1142.06,15.9,19.69,1,313.02,Balisée #1
787,308,1241.77,1685.16,14.18,15.03,1,213.04,Balisée #4
765,308,3422.73,2144.4,16.25,16.86,0,274.01,
771,308,571.98,1732.26,19.72,17.12,1,337.57,Balisée #2
795,308,76.2,1273.63,19.63,20.03,0,393.23,
764,309,2310.62,1229.14,24.41,19.08,1,465.64,Balisée #3
770,309,2348.76,1612.1,14.08,15.45,0,217.5,
767,309,249.94,1142.93,15.66,19.54,1,306.02,Balisée #1
787,309,1243.2,1683.38,16.51,17.53,1,289.47,Balisée #4
765,309,3426.15,2144.38,16.29,16.73,0,272.56,
771,309,574.44,1732.71,19.11,16.36,1,312.58,Balisée #2
795,309,78.92,1270.89,19.78,20.11,0,397.87,
764,310,2310.46,1227.99,23.65,18.34,1,433.71,Balisée #3
770,310,2353.76,1610.95,15.28,16.55,0,252.86,
767,310,251.04,1144.01,15.43,19.41,1,299.53,Balisée #1
787,310,1244.25,1682.11,17.81,18.97,1,337.74,Balisée #4
765,310,3428.45,2144.47,16.02,16.19,0,259.38,
771,310,576.91,1733.07,18.71,15.68,1,293.32,Balisée #2
795,310,81.35,1269.21,19.25,19.28,0,371.07,
764,311,2309.97,1226.79,24.03,18.6,1,447.0,Balisée #3
770,311,2356.31,1606.75,16.62,18.2,0,302.4,
767,311,251.54,1145.75,15.18,19.25,1,292.26,Balisée #1
787,311,1244.6,1681.31,18.72,20.11,1,376.44,Balisée #4
765,311,3430.14,2144.12,16.34,16.19,0,264.44,
771,311,578.99,1733.45,18.49,15.29,1,282.6,Balisée #2
795,311,83.04,1268.1,19.11,18.94,0,361.82,
764,312,2309.16,1225.64,25.78,20.15,1,519.29,Balisée #3
770,312,2358.25,1603.99,15.0,16.57,0,248.5,
767,312,251.89,1146.78,15.59,19.97,1,311.4,Balisée #1
787,312,1244.75,1678.05,17.77,19.11,1,339.58,Balisée #4
765,312,3433.32,2144.34,16.4,15.8,0,259.12,
771,312,581.22,1733.75,18.07,14.69,1,265.54,Balisée #2
795,312,84.73,1266.3,18.72,18.26,0,341.97,
764,313,2308.36,1225.05,26.75,21.08,1,563.79,Balisée #3
770,313,2359.8,1601.79,13.76,15.2,0,209.18,
767,313,251.67,1148.24,15.23,19.69,1,299.9,Balisée #1
787,313,1245.42,1676.31,18.46,19.83,1,366.02,Balisée #4
765,313,3435.47,2145.06,15.9,15.06,0,239.4,
771,313,583.55,1735.13,18.55,14.91,1,276.73,Balisée #2
795,313,86.26,1264.94,18.97,18.18,0,344.87,
764,314,2307.87,1223.07,26.5,21.04,1,557.63,Balisée #3
770,314,2361.82,1599.38,13.42,14.89,0,199.84,
767,314,252.31,1149.16,15.14,19.61,1,296.85,Balisée #1
787,314,1246.07,1674.54,18.63,19.91,1,370.85,Balisée #4
765,314,3439.01,2146.53,15.81,14.72,0,232.73,
771,314,585.77,1736.44,18.91,15.04,1,284.45,Balisée #2
795,314,87.91,1263.12,19.16,18.21,0,348.94,
764,315,2307.76,1224.23,26.56,21.24,1,564.12,Balisée #3
770,315,2364.42,1597.25,14.0,15.62,0,218.61,
767,315,252.56,1150.6,15.77,20.76,1,327.28,Balisée #1
787,315,1246.5,1673.62,18.66,19.75,1,368.43,Balisée #4
765,315,3442.3,2147.44,15.46,13.98,0,216.12,
771,315,587.64,1737.76,19.12,15.1,1,288.62,Balisée #2
795,315,89.56,1261.76,19.62,18.43,0,361.58,
764,316,2307.64,1224.79,26.27,21.13,1,555.12,Balisée #3
770,316,2367.1,1596.05,13.68,15.33,0,209.71,
767,316,253.36,1153.0,15.75,20.88,1,328.85,Balisée #1
787,316,1246.94,1672.29,19.06,19.94,1,380.14,Balisée #4
765,316,3444.71,2147.83,15.1,13.32,0,201.11,
771,316,589.81,1739.42,19.07,14.93,1,284.66,Balisée #2
795,316,92.11,1260.78,19.9,18.42,0,366.55,
764,317,2307.43,1225.02,26.08,21.13,1,551.14,Balisée #3
770,317,2369.92,1594.88,13.74,15.5,0,213.01,
767,317,253.65,1154.64,15.29,20.34,1,311.07,Balisée #1
787,317,1246.92,1670.56,19.11,19.81,1,378.61,Balisée #4
